Team 1,Score,Team 2,Score,Date,Video ID
San Antonio Spurs,103,Detroit Pistons,92,2/10/17, RdFyox32Puc
Cleveland Cavaliers,109,Oklahoma City Thunder,118,2/9/17, 41FzSRyjuKc
Houston Rockets,107,Charlotte Hornets,95,2/9/17, 2K-O6TVHDUY
Boston Celtics,92,Sacramento Kings,108,2/8/17, jIxhRWwfXvA
Chicago Bulls,92,Golden State Warriors,123,2/8/17, hl9_aFWbByU
Miami Heat,106,Milwaukee Bucks,88,2/8/17, 7JYkwWeryWc
Cleveland Cavaliers,132,Indiana Pacers,117,2/8/17, elwDhbpRn6Q
Orlando Magic,104,Houston Rockets,128,2/7/17, 2IeYIfNUJnQ
Brooklyn Nets,107,Charlotte Hornets,111,2/7/17, 8ad1u7iZpnA
San Antonio Spurs,74,Memphis Grizzlies,89,2/6/17, lotnBN8uvCc
Cleveland Cavaliers,140,Washington Wizards,135,2/6/17, 5CIEQiy85YI
Los Angeles Lakers,121,New York Knicks,107,2/6/17, ic1ArVmlx94
Golden State Warriors,106,Sacramento Kings,109,2/4/17, Aevzj2vO4B4
Denver Nuggets,97,San Antonio Spurs,121,2/4/17, PRdG5JnlZsA
Cleveland Cavaliers,111,New York Knicks,104,2/4/17, bLDVvzMw6oo
Chicago Bulls,117,Houston Rockets,121,2/3/17, huuaM3d6uN0
Los Angeles Lakers,107,Boston Celtics,113,2/3/17, aKtV3UaCtHU
Golden State Warriors,133,Los Angeles Clippers,120,2/2/17, f8-tnlyociA
Philadelphia 76ers,86,San Antonio Spurs,102,2/2/17, A6v66bnL1Ys
Los Angeles Lakers,108,Washington Wizards,116,2/2/17, y7DOrRxRTtY
Charlotte Hornets,111,Golden State Warriors,126,2/1/17, 5pvmA4_ZRGM
Minnesota Timberwolves,97,Cleveland Cavaliers,125,2/1/17, ewTTjTsw244
Oklahoma City Thunder,94,San Antonio Spurs,108,1/31/17, jLThdGMMnes
Sacramento Kings,83,Houston Rockets,105,1/31/17, 47BjnWn6IyY
Detroit Pistons,109,Boston Celtics,113,1/30/17, pMh0NuT0uXg
Cleveland Cavaliers,97,Dallas Mavericks,104,1/30/17, VFXpmxC5ZTU
Golden State Warriors,113,Portland Trail Blazers,111,1/29/17, -17L5yzhjpc
Oklahoma City Thunder,91,Cleveland Cavaliers,107,1/29/17, bNMruSQqJK8
Boston Celtics,112,Milwaukee Bucks,108,1/28/17, 03PpnYFlty4
Los Angeles Clippers,98,Golden State Warriors,144,1/28/17, Qgf_ShDyMRU
