homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,thumbnail
Boston_Celtics,99,Golden_State_Warriors,86, GShZUiyqEH0,3/8/17,
Sacramento_Kings,104,San_Antonio_Spurs,114, yVPqoPOPNvY,3/8/17,
Utah_Jazz,115,Houston_Rockets,108, 3GIxJkMzM00,3/8/17,
New_York_Knicks,93,Milwaukee_Bucks,104, dbyYuwV_4Ig,3/8/17,
Los_Angeles_Lakers,111,Dallas_Mavericks,122, WBuzCwcWipE,3/7/17,
Portland_Trail_Blazers,126,Oklahoma_City_Thunder,121, nmQQCkKIAy0,3/7/17,
Boston_Celtics,102,Los_Angeles_Clippers,116, wQd1XsfwbZo,3/6/17,
Houston_Rockets,110,San_Antonio_Spurs,112, j-CcDxOpanE,3/6/17,
Golden_State_Warriors,119,Atlanta_Hawks,111, Jh_0-tgzHbw,3/6/17,
Miami_Heat,106,Cleveland_Cavaliers,98, 6RhbEJpt4Dw,3/6/17,
New_Orleans_Pelicans,105,Los_Angeles_Lakers,97, KE2t8iOSiLw,3/5/17,
Oklahoma_City_Thunder,89,Dallas_Mavericks,104, zeamGEGU2c0,3/5/17,
Boston_Celtics,106,Phoenix_Suns,109, 4PDEnywl7V4,3/5/17,
Golden_State_Warriors,112,New_York_Knicks,105, 3QcyFOJvYkw,3/5/17,
Minnesota_Timberwolves,90,San_Antonio_Spurs,97, XqCRmRcJFfA,3/4/17,
Toronto_Raptors,94,Milwaukee_Bucks,101, wxlKSMqcqig,3/4/17,
Cleveland_Cavaliers,92,Miami_Heat,120, PBxqiQg61AE,3/4/17,
San_Antonio_Spurs,101,New_Orleans_Pelicans,98, APFtCHqMeNg,3/3/17,
Oklahoma_City_Thunder,111,Phoenix_Suns,118, mSXvEMWBSN4,3/3/17,
Cleveland_Cavaliers,135,Atlanta_Hawks,130, BWUPGPzsR8o,3/3/17,
Oklahoma_City_Thunder,109,Portland_Trail_Blazers,114, 5EnN1Ea7ZDw,3/2/17,
Golden_State_Warriors,87,Chicago_Bulls,94, CRIKCfJQxQQ,3/2/17,
Houston_Rockets,122,Los_Angeles_Clippers,103, -S2EeZXcgnw,3/1/17,
Indiana_Pacers,99,San_Antonio_Spurs,100,IpEVEFYiW5s,3/1/17,
Cleveland_Cavaliers,99,Boston_Celtics,103,BpHYzCIpSww,3/1/17,
Charlotte_Hornets,109,Los_Angeles_Lakers,104, JBniRFF4gE8,2/28/17,
Utah_Jazz,106,Oklahoma_City_Thunder,109, lCiKQ22_mLw,2/28/17,
Golden_State_Warriors,108,Washington_Wizards,112, fbktmLYD6dQ,2/28/17,
Indiana_Pacers,117,Houston_Rockets,108, xnSoDUh-waQ,2/27/17,
Golden_State_Warriors,119,Philadelphia_76ers,108, kVaoo69FLqo,2/27/17,
Milwaukee_Bucks,95,Cleveland_Cavaliers,102, Phy6RdfxhGA,2/27/17,
New_Orleans_Pelicans,110,Oklahoma_City_Thunder,118, kZLIUyApu3E,2/26/17,
Boston_Celtics,104,Detroit_Pistons,98, mRX5N6Wv1fw,2/26/17,
