homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Bournemouth,2,Watford,2,UB1kdWfqOx4,2017-01-21
Liverpool,1,Manchester_United,1,TZW3iTc08l0,2017-01-15
Chelsea,3,Leicester_City,0,G0sEEy7BO00,2017-01-14
Tottenham,4,West_Brom,0,iuHbp3sOk4o,2017-01-14
Watford,0,Middlesbrough,0,4QtUBOsRhvE,2017-01-14
Southampton,0,Burnley,1,ydUOwutg64o,2017-01-14
Bournemouth,1,Hull_City,3,FMFuaX7lO7g,2017-01-14
Stoke_City,3,Sunderland,1,IfMqji-U9lA,2017-01-14
Arsenal,4,Swansea_City,0,6GEfTCNMlBM,2017-01-14
West_Ham,3,Crystal_Palace,0,f1HTpWYh6_0,2017-01-14
Arsenal,3,Bournemouth,3,PuZozAYyXxU,2017-01-03
Crystal_Palace,1,Swansea_City,2,XwTbG8sTHSc,2017-01-03
Stoke_City,2,Watford,0,rMdFQXqo7ww,2017-01-03
Everton,3,Southampton,0,jVSkDQ22b1c,2017-01-03
West_Brom,3,Hull_City,1,JA46KzuFEFU,2017-01-03
Leicester_City,0,Middlesbrough,0,LAoO_Lkw8Ng,2017-01-03
Liverpool,2,Sunderland,0,wUKF7oe0x0I,2017-01-03
Tottenham,4,Watford,1,bASx1vnXs6Q,2017-01-02
Arsenal,2,Crystal_Palace,0,JuYwGwQOu4I,2017-01-02
Chelsea,4,Stoke_City,2,Yq35nevQ3e8,2017-01-02
Leicester_City,1,West_Ham,0,FUbZ-kE8jPo,2017-01-02
Burnley,4,Sunderland,1,6XCqThr_YGU,2017-01-02
Bournemouth,3,Swansea_City,0,bMi5s5LJMqI,2017-01-02
West_Brom,3,Southampton,0,W0zAy_qgtHM,2017-01-02
Manchester_United,2,Middlesbrough,1,ceLw9g0rrms,2017-01-02
Tottenham,4,Southampton,1,hHFiYz0ezVw,2016-12-29
Liverpool,4,Stoke_City,1,NCLTGPuZVI0,2016-12-28
Manchester_City,,Hull_City,,QxiM1Zv9k6s,2016-12-26
Manchester_United,3,Sunderland,1,s8Xa4wAJqSQ,2016-12-26
Watford,1,Crystal_Palace,1,Zehg_I6WuJo,2016-12-26
Chelsea,3,Bournemouth,0,q7jgFM63VQA,2016-12-26
West_Ham,4,Swansea_City,1,BCCHOI2Pcds,2016-12-26
Arsenal,1,West_Brom,0,PNNmm_gZmg4,2016-12-26
Burnley,1,Middlesbrough,0,VHRt0GfVuc0,2016-12-26
Everton,2,Leicester_City,0,Zvqqd7xeYLU,2016-12-26
Liverpool,1,Everton,0,170quwYWEgY,2016-12-20
Swansea_City,0,Middlesbrough,3,viDz9Smh8oo,2016-12-18
Chelsea,1,Crystal_Palace,0,48L_9lbPfAw,2016-12-18
Manchester_United,2,West_Brom,0,zQE5oLpHKEI,2016-12-18
West_Ham,1,Hull_City,0,aQ2r993ploY,2016-12-18
Leicester_City,2,Stoke_City,2,wIaWaUppyB4,2016-12-18
Watford,0,Sunderland,1,7ar7aa9Fm_A,2016-12-18
Southampton,3,Bournemouth,1,odb7-O4DtOo,2016-12-18
Tottenham,2,Burnley,1,TC_IDhJN_zk,2016-12-18
Burnley,0,West_Ham,1,wOkltfvxwiM,2016-12-15
Southampton,0,Stoke_City,0,KK6cWIZv6wY,2016-12-15
West_Brom,3,Swansea_City,1,rV_b9dtEwWI,2016-12-15
Tottenham,3,Hull_City,0,MJS-sxqTveg,2016-12-15
Manchester_United,2,Crystal_Palace,1,vRWc_a4gKIk,2016-12-15
Liverpool,3,Middlesbrough,0,qUjYGUZbLkQ,2016-12-15
Chelsea,1,Sunderland,0,yHJHM72O_eA,2016-12-15
Arsenal,1,Everton,2,yuvBGnBWsfg,2016-12-14
Bournemouth,1,Leicester_City,0,N-UsBSiXc3A,2016-12-13
Liverpool,2,West_Ham,2,ZTBES2Tc54s,2016-12-11
Southampton,1,Middlesbrough,0,Aal2cOmxwd8,2016-12-11
Tottenham,0,Manchester_United,1,H5QoneNMBy0,2016-12-11
Chelsea,1,West_Brom,0,u73zxazkdcI,2016-12-11
Manchester_City,2,Leicester_City,4,96qmy_q4RuU,2016-12-11
Arsenal,3,Stoke_City,1,8pzcqNCgzfE,2016-12-10
Swansea_City,3,Sunderland,0,J7kQ_98GvkU,2016-12-10
Everton,2,Watford,3,QRrN_aXckgg,2016-12-10
Crystal_Palace,3,Hull_City,3,eLxfhMKr1hk,2016-12-10
Bournemouth,2,Burnley,3,zhe8RwLIIl4,2016-12-10
Hull_City,0,Middlesbrough,1,j3xb6I3xsos,2017-04-06
Manchester_United,1,Everton,1,spb6lS4wIDU,2016-12-04
Liverpool,3,Bournemouth,4,AlI5VHMZflo,2016-12-04
Arsenal,5,West_Ham,1,XAnkKGgSw5s,2016-12-03
Stoke_City,2,Burnley,0,tCj7EwsWG3o,2016-12-03
Southampton,0,Crystal_Palace,3,rOFRSJfgB3k,2016-12-03
Tottenham,5,Swansea_City,0,5C5MKH4oXBQ,2016-12-03
Chelsea,3,Manchester_City,1,c19lUekl5kY,2016-12-03
West_Brom,3,Watford,1,XdNfa9n4SLo,2016-12-03
Leicester_City,1,Sunderland,2,deBr8zrwbCM,2016-12-03
Arsenal,3,Bournemouth,1,8PrppNhQscY,2016-11-28
Manchester_United,1,West_Ham,1,iFXZ4dQOCSM,2016-11-28
Everton,0,Southampton,1,VXHgIctLM48,2016-11-28
Stoke_City,1,Watford,0,o-thGQaUE1I,2016-11-28
Chelsea,2,Tottenham,1,m4Ngda5D43M,2016-11-26
Liverpool,2,Sunderland,0,MloMqM0glZA,2016-11-26
Crystal_Palace,4,Swansea_City,5,#NAME?,2016-11-26
Leicester_City,2,Middlesbrough,2,KSka9P20NvE,2016-11-26
West_Brom,1,Hull_City,1,_6xSFzV8yYU,2016-11-26
West_Brom,4,Burnley,0,XVDj7_wH0Dc,2016-11-22
Chelsea,1,Middlesbrough,0,7nEBqj3_-Hg,2016-11-20
Tottenham,3,West_Ham,2,CaKZX5-Uco8,2016-11-19
Bournemouth,1,Stoke_City,0,CoSIrrcOEgc,2016-11-19
Liverpool,0,Southampton,0,8GmO_-AVx8c,2016-11-19
Manchester_United,1,Arsenal,1,90O_ivs9pDA,2016-11-19
Everton,1,Swansea_City,1,6B3sXyO9N08,2016-11-19
Hull_City,0,Sunderland,3,5iGzaV4lLn0,2016-11-19
Leicester_City,1,Watford,2,UiZNffAFFZY,2016-11-19
Manchester_United,3,Swansea_City,1,lgyJbg6j-GM,2016-11-06
West_Brom,2,Leicester_City,1,32RgmkrpDDY,2016-11-06
Southampton,1,Hull_City,2,xqYkbpZLKRI,2016-11-06
Liverpool,6,Watford,1,JamYqsjYSLo,2016-11-06
Tottenham,1,Arsenal,1,de9Q-RDs_UE,2016-11-06
Chelsea,5,Everton,0,AtsepM-Ho7M,2016-11-05
Bournemouth,1,Sunderland,2,3teAy0q6fGI,2016-11-05
Burnley,3,Crystal_Palace,2,gprG5_Gcic4,2016-11-05
Stoke_City,1,West_Ham,1,G2acg7y1Xuo,2016-11-05
Chelsea,2,Southampton,0,eiJRZyr_kVs,2016-10-30
Everton,2,West_Ham,0,6kcji2yec6E,2016-10-30
Bournemouth,0,Middlesbrough,2,9TZoSzKO3tU,2016-10-30
Arsenal,4,Sunderland,1,CtrND6C4iBU,2016-10-30
Watford,1,Hull_City,0,eNEZnML2ldc,2016-10-30
Liverpool,4,Crystal_Palace,2,34ZvpvsbmfU,2016-10-30
Tottenham,1,Leicester_City,1,Fv0BoddWei0,2016-10-30
Manchester_United,0,Burnley,0,pt2Y37MILoM,2016-10-30
Chelsea,4,Manchester_United,0,StbjZOFkc5E,2016-10-23
Tottenham,0,Bournemouth,0,1aXOp9fq178,2016-10-23
Stoke_City,2,Hull_City,0,9KQQ828qsXY,2016-10-23
Liverpool,2,West_Brom,1,SFK7vS6z6GE,2016-10-22
West_Ham,1,Sunderland,0,Kz4R80P5gTI,2016-10-23
Arsenal,0,Middlesbrough,0,oxfhtfgXBsY,2016-10-23
Leicester_City,3,Crystal_Palace,1,4nJgH3B1fKY,2016-10-23
Everton,1,Burnley,2,UMxgoogwt50,2016-10-23
Liverpool,0,Manchester_United,0,uMVOe7FHpuk,2016-10-17
