Team 1,Score,Team 2,Score,Date,Video ID
Los_Angeles_Lakers,101,Denver_Nuggets,129,3/13/17, Pp4RXCKePpI
Los_Angeles_Clippers,108,Utah_Jazz,114,3/13/17, P7LAAY2GFIU
Atlanta_Hawks,99,San_Antonio_Spurs,107,3/13/17, 72woXR_8_o4
Chicago_Bulls,115,Charlotte_Hornets,109,3/13/17, 4d7odOJdQhA
Philadelphia_76ers,118,Los_Angeles_Lakers,116,3/12/17, Em_rlWjIu-s
Cleveland_Cavaliers,112,Houston_Rockets,117,3/12/17, H6CmA6iZwGM
Chicago_Bulls,80,Boston_Celtics,100,3/12/17, JvebN0phEdg
Golden_State_Warriors,85,San_Antonio_Spurs,107,3/11/17, RnLMMlFa9Hg
Cleveland_Cavaliers,116,Orlando_Magic,104,3/11/17, W68UJe9jEXA
Philadelphia_76ers,100,Los_Angeles_Clippers,112,3/11/17, q-D-WWI_J6A
Utah_Jazz,104,Oklahoma_City_Thunder,112,3/11/17, 2NJnN0JzlbU
Houston_Rockets,115,Chicago_Bulls,94,3/10/17, sk9s0OsEiLY
Golden_State_Warriors,102,Minnesota_Timberwolves,103,3/10/17, 5feVPwSro3s
San_Antonio_Spurs,92,Oklahoma_City_Thunder,102,3/9/17, bc9R7KTHnjk
Cleveland_Cavaliers,101,Detroit_Pistons,106,3/9/17, 3c1b48bIwew
Boston_Celtics,99,Golden_State_Warriors,86,3/8/17, GShZUiyqEH0
Sacramento_Kings,104,San_Antonio_Spurs,114,3/8/17, yVPqoPOPNvY
Utah_Jazz,115,Houston_Rockets,108,3/8/17, 3GIxJkMzM00
New_York_Knicks,93,Milwaukee_Bucks,104,3/8/17, dbyYuwV_4Ig
Los_Angeles_Lakers,111,Dallas_Mavericks,122,3/7/17, WBuzCwcWipE
Portland_Trail_Blazers,126,Oklahoma_City_Thunder,121,3/7/17, nmQQCkKIAy0
Boston_Celtics,102,Los_Angeles_Clippers,116,3/6/17, wQd1XsfwbZo
Houston_Rockets,110,San_Antonio_Spurs,112,3/6/17, j-CcDxOpanE
Golden_State_Warriors,119,Atlanta_Hawks,111,3/6/17, Jh_0-tgzHbw
Miami_Heat,106,Cleveland_Cavaliers,98,3/6/17, 6RhbEJpt4Dw
New_Orleans_Pelicans,105,Los_Angeles_Lakers,97,3/5/17, KE2t8iOSiLw
Oklahoma_City_Thunder,89,Dallas_Mavericks,104,3/5/17, zeamGEGU2c0
Boston_Celtics,106,Phoenix_Suns,109,3/5/17, 4PDEnywl7V4
Golden_State_Warriors,112,New_York_Knicks,105,3/5/17, 3QcyFOJvYkw
Minnesota_Timberwolves,90,San_Antonio_Spurs,97,3/4/17, XqCRmRcJFfA
