homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Milwaukee Bucks,95,Cleveland Cavaliers,102, Phy6RdfxhGA,2/27/17
New Orleans Pelicans,110,Oklahoma City Thunder,118, kZLIUyApu3E,2/26/17
Boston Celtics,104,Detroit Pistons,98, mRX5N6Wv1fw,2/26/17
Phoenix Suns,96,Milwaukee Bucks,100, LJJY46jASrY,2/26/17
San Antonio Spurs,119,Los Angeles Lakers,98, JAHTPIQHQIc,2/26/17
Brooklyn Nets,95,Golden State Warriors,112, 3WTSwfXsGGc,2/25/17
Chicago Bulls,117,Cleveland Cavaliers,99, v47HaxXgy9w,2/25/17
San Antonio Spurs,105,Los Angeles Clippers,97, tzUX_-gl8Xc,2/24/17
Boston Celtics,97,Toronto Raptors,107, B-LWXhWNr1s,2/24/17
Los Angeles Lakers,93,Oklahoma City Thunder,110, tls3JmU_-zY,2/24/17
Los Angeles Clippers,113,Golden State Warriors,123, klbUtjRfbA0,2/23/17
Houston Rockets,129,New Orleans Pelicans,99, z2IX2sg8BlA,2/23/17
New York Knicks,104,Cleveland Cavaliers,119, w1jMR732XdM,2/23/17
Team EAST,,Team WEST,, RllGs6GWwsI,2/19/17
Boston Celtics,103,Chicago Bulls,104, BRt5DR8T7Tc,2/16/17
Sacramento Kings,86,Golden State Warriors,109, UdJJtZScv0A,2/15/17
Cleveland Cavaliers,116,Minnesota Timberwolves,108, r1ZWLmb4a2U,2/14/17
Golden State Warriors,110,Denver Nuggets,132, hcjguHTsldg,2/13/17
Boston Celtics,111,Dallas Mavericks,98, gCZFtAIB4N4,2/13/17
San Antonio Spurs,110,Indiana Pacers,106, ZZdkOmCjmso,2/13/17
Chicago Bulls,89,Minnesota Timberwolves,117, aUkN61x60gs,2/12/17
San Antonio Spurs,90,New York Knicks,94, lQj0jbWy5xM,2/12/17
Golden State Warriors,130,Oklahoma City Thunder,114, obmRMQlqKAs,2/11/17
Denver Nuggets,109,Cleveland Cavaliers,125, bHQ4Av1NsLU,2/11/17
Chicago Bulls,97,Phoenix Suns,115, Dpm1NZ4XuKU,2/10/17
Los Angeles Lakers,122,Milwaukee Bucks,114, Y4cjS5m-jo0,2/10/17
Golden State Warriors,122,Memphis Grizzlies,107, TqFr8R6HmpU,2/10/17
San Antonio Spurs,103,Detroit Pistons,92, RdFyox32Puc,2/10/17
Cleveland Cavaliers,109,Oklahoma City Thunder,118, 41FzSRyjuKc,2/9/17
Houston Rockets,107,Charlotte Hornets,95, 2K-O6TVHDUY,2/9/17
Boston Celtics,92,Sacramento Kings,108, jIxhRWwfXvA,2/8/17
Chicago Bulls,92,Golden State Warriors,123, hl9_aFWbByU,2/8/17
