homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Tottenham,4,Watford,1,bASx1vnXs6Q,1/1/17,Harry Kane  Dele Alli lead Tottenham past Watford
Arsenal,2,Crystal Palace,0,JuYwGwQOu4I,1/1/17,Giroud's wondergoal sparks Arsenal to win over Crystal Palace
Chelsea,4,Stoke City,2,Yq35nevQ3e8,12/31/16,Chelsea top Stoke City in 4-2 thriller
Leicester City,1,West Ham,0,FUbZ-kE8jPo,12/31/16,Leicester City hold off West Ham for 1-0 win
Burnley,4,Sunderland,1,6XCqThr_YGU,12/31/16,Andre Gray's hat-trick leads Burnley to win over Sunderland
Bournemouth,3,Swansea City,0,bMi5s5LJMqI,12/31/16,Bournemouth puts three goals past Swansea in win
West Brom,2,Southampton,1,W0zAy_qgtHM,12/31/16,Southampton score first  but fall to West Brom
Manchester United,2,Middlesbrough,1,ceLw9g0rrms,12/31/16,Manchester United come back to beat Middlesbrough
Liverpool,1,Manchester City,0,R3YqoBnA3Dw,12/31/16,Wijnaldum's goal helps Liverpool to ugly win over Manchester City
Hull City,2,Everton,2,4YmYvYOkki8,12/30/16,"Hull City held a 2-1 lead late in the second half, but Ross Barkley's late equalizer secured a point for the Toffees."
Tottenham,4,Southampton,1,hHFiYz0ezVw,12/28/16,Dele Alli sparks Tottenham rout of Southampton
Liverpool,4,Stoke City,1,NCLTGPuZVI0,12/27/16,Liverpool score four unanswered goal to beat Stoke
Manchester City,3,Hull City,0,QxiM1Zv9k6s,12/26/16,Toure  Iheanacho spark Man City's second half dominance vs. Hull City
West Ham,4,Swansea City,1,BCCHOI2Pcds,12/26/16,West Ham hammer Swansea City 4-1
Arsenal,1,West Brom,0,PNNmm_gZmg4,12/26/16,Olivier Giroud's late goal gives Arsenal the win over West Brom
Burnley,1,Middlesbrough,0,VHRt0GfVuc0,12/26/16,Andre Gray's late goal pushes Burnley past Middlesbrough
Everton,2,Leicester City,0,Zvqqd7xeYLU,12/26/16,Everton use strong second half to beat Leicester City
Manchester United,3,Sunderland,1,s8Xa4wAJqSQ,12/26/16,Manchester United continue to roll with 3-1 win over Sunderland
Watford,1,Crystal Palace,1,Zehg_I6WuJo,12/26/16,Watford  Crystal Palace play to 1-1 draw on Boxing Day
Chelsea,3,Bournemouth,0,q7jgFM63VQA,12/26/16,Chelsea thump Bournemouth for 12th straight win
Liverpool,1,Everton,0,170quwYWEgY,12/19/16,Liverpool escape Merseyside derby with win over Everton
Swansea City,0,Middlesbrough,3,viDz9Smh8oo,12/17/16,Swansea City no match for Middlesbrough in 3-0 defeat
Chelsea,1,Crystal Palace,0,48L_9lbPfAw,12/17/16,Chelsea beat Crystal Palace for 11th straight win
West Ham,1,Hull City,0,aQ2r993ploY,12/17/16,Mark Noble's penalty kick goal helps West Ham past Hull City
Manchester United,2,West Brom,0,zQE5oLpHKEI,12/17/16,Zlatan Ibrahimovic scores two goals as Manchester United best West Brom
