Team1,Score1,Team2,Score2,video link,date,title
Manchester United,,Bournemouth,,ItZknodKDNY,3/5/17,Bournemouth steals point from Old Trafford after 1-1 draw with Man United
Southampton,,Watford,,445nXqPTlJA,3/5/17,Southampton beat Watford in high-scoring affair at Vicarage Road
Liverpool,,Leicester City,,rSLhHJF6GAQ,2/28/17,Leicester get much needed win over Liverpool
Tottenham,,Stoke City,,N0u95WGdIac,2/26/17,Harry Kane secures hat-trick in Tottenham's win over Stoke
Crystal Palace,1,Middlesbrough,0,goDIIWLY_hs,2/25/17,"In an important match in the relegation battle, Crystal Palace earned the three points against Middlesbrough thanks to a goal from Patrick Van Aanholt."
Watford,,West Ham,,xWt39r61EK4,2/25/17,Watford  West Ham share points in 1-1 draw
Everton,,Sunderland,,JX2Gu7I5HQg,2/25/17,Everton beat Sunderland to stay red-hot
Burnley,,Hull City,,AXtT0CqfaCA,2/25/17,Hull City  Burnley exchange late goals in draw
Chelsea,,Swansea City,,4xLCJLTmp-c,2/25/17,Chelsea extend title lead with win over Swansea
West Brom,,Bournemouth,,_FgvmGbaiaA,2/25/17,West Brom top Bournemouth for 2-1 win
Liverpool,,Leicester City,,fPGPZntgdBU,2/23/17,Premier League preview: Leicester City v. Liverpool
Manchester City,,Bournemouth,,j-BYaUSUofY,2/14/17,Sterling  Aguero help Man City beat Bournemouth
Leicester City,,Swansea City,,qVelU-wyhvQ,2/12/17,Leicester struggles continue in loss to Swansea
Chelsea,,Burnley,,w-tMQiVbekI,2/12/17,Burnley  Chelsea play to hard-fought draw
Tottenham,,Liverpool,,gIOwOT4CJxM,2/11/17,Sadio Mane  Liverpool beat Tottenham 2-0
Southampton,,Sunderland,,OpUoRtgdasU,2/11/17,Southampton hammer Sunderland 4-0
Everton,,Middlesbrough,,ziY_yyWJOCw,2/11/17,Middlesbrough  Everton draw 0-0
Manchester United,,Watford,,7HUPB4oSJw0,2/11/17,Manchester United power past Watford in 2-0 win
West Brom,,West Ham,,x1AbhlEKaAQ,2/11/17,West Ham  West Brom play to thrilling 2-2 draw
Stoke City,,Crystal Palace,,138MFFd_2BQ,2/11/17,Joe Allen's goal lifts Stoke past Crystal Palace
Arsenal,,Hull City,,Y6lLN4JG0LI,2/11/17,Alexis Sanchez's brace leads Arsenal past Hull
Manchester United,,Leicester City,,Ai7NYLoHNhU,2/5/17,Manchester United blowout Leicester City
Manchester City,,Swansea City,,0UK5CcPdUdA,2/5/17,Gabriel Jesus brace leads Man City past Swansea
Southampton,,West Ham,,G86LiG2_SSo,2/4/17,West Ham beat Southampton 3-1
Tottenham,,Middlesbrough,,Q4nBRhX2Aqc,2/4/17,Tottenham get past Middlesbrough in 1-0 win
Liverpool,,Hull City,,9y5Rh344x0A,2/4/17,Hull City shock Liverpool with 2-0 win
Sunderland,,Palace,,5ehDx4jP-QA,2/4/17,Sunderland put four goals past Palace in win
